bacia,lat,long,od,alt,larg,prof,veloc
Ivinhema,-21.657333,-54.424944,8.34,282,6.95,0.56,0.391566265
Ivinhema,-21.56575,-54.485083,7.9,295,5.22,0.44,0.356626506
Ivinhema,-21.539083,-54.557167,9.2,298,2.35,0.3577,0.21313253
Ivinhema,-22.04625,-55.308028,9.89,378,4.5,0.5033,0.589156627
Ivinhema,-21.479736,-54.350306,9.55,318,4.2,0.42,0.369879518
Ivinhema,-21.574083,-54.227333,10.31,337,2.6,0.3157,0.668674699
Ivinhema,-21.774194,-53.943444,8.95,254,10,0.6828,0.737349398
Ivinhema,-22.208611,-54.825556,7.49,389,1.05,0.508,1.140963855
Ivinhema,-22.153139,-54.939556,7.31,375,0.98,0.4,0.547590361
Ivinhema,-22.6125,-54.036028,7.72,290,3.3,0.315,0.708433735
Ivinhema,-22.776694,-54.051194,7.63,277,5,0.3833,1.147349398
Ivinhema,-22.872222,-54.076222,7.86,307,2.2,0.3333,0.708674699
Ivinhema,-22.434694,-53.91875,7.23,304,3.5,0.4037,0.795180723
Ivinhema,-22.223028,-53.750889,5.84,298,2,0.266,0.481927711
Ivinhema,-22.233151,-53.784471,7.18,269,8,1.4,0.301204819
Ivinhema,-22.524917,-53.550083,5.25,242,3.5,1.65,0.285060241
Ivinhema,-22.311306,-53.952056,6.17,327,3,0.494,0.501927711
Ivinhema,-22.316444,-54.185167,6.69,335,0.8,0.55,0.753012048
Ivinhema,-22.406194,-55.176333,7.71,356,6.5,0.675,1.112048193
Ivinhema,-22.523583,-55.466,7.27,571,1.7,0.3,0.573493976
Ivinhema,-21.742833,-55.012472,4.74,345,1.1,0.256,0.587716721
Ivinhema,-21.6425,-55.122889,7.5,359,12,2.1,0.999118425
Ivinhema,-21.546806,-55.176806,6.73,364,1.3,0.442,0.415454923
Ivinhema,-21.825556,-55.151722,3.4,381,2,0.5,0.072579475
Ivinhema,-21.950194,-54.631083,2.3,281,3.5,1.57,0.360626178
Ivinhema,-21.844528,-54.48725,6.26,277,4,1.1,0.336228635
Ivinhema,-21.618944,-54.630778,5.92,310,5,1.64,0.060240964
Ivinhema,-21.530444,-55.242861,7.76,384,8,0.6,0.850460666
Ivinhema,-22.015889,-55.100306,7.13,376,5,0.5,1.112140871
Ivinhema,-22.56425,-55.141972,8.15,455,2.2,0.383,1.445783133
Ivinhema,-22.550389,-54.800417,7.6,423,0.8,0.328,0.451807229
Ivinhema,-22.232833,-54.149056,5.54,350,1.2,0.5,0.657174151
Ivinhema,-22.0865,-54.0835,6.75,316,4,0.368,0.850460666
Ivinhema,-22.114722,-53.910167,7.16,314,1.3,0.45,0.903614458
Ivinhema,-22.411556,-54.184833,3.91,336,1.8,0.8,0.963855422
Ivinhema,-22.40475,-54.384333,7.27,323,2.4,1.2,1.070950469
Ivinhema,-22.309417,-55.755972,7.86,605,6.5,0.67,0.963855422
Ivinhema,-22.211139,-55.916389,5.5,680,1.8,0.4,0.58009817
Ivinhema,-22.269889,-55.542222,7.52,492,8.5,0.7,1.070950469
Ivinhema,-22.157444,-55.57175,7.25,478,0.85,0.4,0.82616179
Ivinhema,-22.006083,-55.609139,7.46,589,1.7,0.2,0.682730924
Ivinhema,-21.766028,-55.568667,6.31,537,2,0.475,1.280120482
Ivinhema,-21.9805,-55.392944,7.44,406,4.3,0.51,0.930996714
Ivinhema,-21.609278,-55.58425,7.64,533,1.6,0.38,1.047668937
Ivinhema,-21.303694,-55.436667,7.15,481,5.5,0.375,0.921332388
Ivinhema,-21.216028,-55.416278,7.12,518,1.1,0.46,0.688468158
Ivinhema,-21.019722,-55.12125,7.42,469,1.75,0.4,0.657174151
Ivinhema,-22.006639,-53.551806,5.3,263,8,0.778,0.417998525
Ivinhema,-22.270111,-54.270278,6.08,308,0.9,0.325,0.114744693
Ivinhema,-22.185083,-54.316972,6.23,283,3.8,0.65,0.458978772
Ivinhema,-22.059917,-54.787139,3.54,317,3,0.55,0.430120482
Ivinhema,-21.925111,-54.699806,4.71,286,0.9,0.916,0.546987952
Ivinhema,-21.910917,-54.808861,7.54,297,0.65,0.725,0.481927711
Ivinhema,-21.730556,-55.026528,7.54,327,6,0.475,0.33373494
Ivinhema,-21.588417,-54.974472,5.75,333,2.3,0.888,0.171084337
Ivinhema,-21.492111,-54.820917,6.05,330,4,0.7,0.602409639
Ivinhema,-21.499139,-54.718083,7.87,310,11,0.3,1.204819277
Ivinhema,-21.871722,-54.446889,4.02,278,1.5,1,0.096385542
Ivinhema,-22.504472,-55.3135,7.12,452,4,1.05,0.375903614
Ivinhema,-22.411694,-54.673694,6.98,328,1.5,0.355,0.375903614
Ivinhema,-22.4875,-54.655889,6.95,318,6,0.7,1.003614458
Ivinhema,-22.436139,-54.516722,6.83,310,4.5,0.75,0.687951807
Ivinhema,-22.430917,-54.514194,7.14,350,1.6,0.3833,0.627710843
Ivinhema,-22.460639,-54.303611,5.58,382,2.2,0.35,0.719277108
Ivinhema,-22.422111,-54.278222,4.88,378,1.5,0.77,0.301204819
Ivinhema,-22.180389,-54.109972,6.79,308,2.5,0.7,1.03253012
Ivinhema,-22.145222,-54.140056,7.05,311,1.7,0.4,0.687951807
Ivinhema,-22.170194,-54.136111,7.25,301,1.3,0.3333,0.586746988
Ivinhema,-22.454361,-54.136806,2.9,322,1,1.15,0.481927711
Ivinhema,-22.487917,-54.351694,4.61,371,1.6,0.25,0.903614458
Ivinhema,-22.172167,-54.970333,6.4,419,0.8,0.35,0.525301205
Ivinhema,-22.095778,-55.269361,7.43,393,1.5,0.61,0.534939759
Ivinhema,-22.238167,-53.9495,7.05,323,2.2,0.666,0.628554217
Ivinhema,-22.376861,-53.868972,3.98,314,2.5,0.75,0.687951807
Ivinhema,-22.351472,-53.930222,6.73,299,5.5,0.9,0.84939759
Ivinhema,-22.561361,-53.983342,7.5,272,2.5,0.8,0.534939759
Ivinhema,-22.67525,-54.044694,4.79,312,2,0.5666,0.361445783
Ivinhema,-22.749417,-54.028389,6.86,301,0.9,0.5,0.498433735
Ivinhema,-22.994778,-54.184472,4.22,320,1.5,0.9,0.722891566
Ivinhema,-22.782806,-54.199944,6.31,351,2.5,0.175,0.555421687
Ivinhema,-22.648778,-54.242361,4.73,357,1.1,0.5,0.850361446
Ivinhema,-22.433972,-55.064361,7.31,351,3.5,0.45,1.112048193
Ivinhema,-22.436722,-55.093861,6.43,355,3.6,0.8,0.481927711
Ivinhema,-22.596028,-55.600556,7.61,583,3.2,0.35,0.578313253
Ivinhema,-22.503417,-55.69775,7.14,588,6.5,0.55,1.03253012
Ivinhema,-21.491472,-54.589306,6.65,312,5.5,0.975,0.656626506
Ivinhema,-21.400083,-54.665917,6.28,340,2.2,0.317,0.656626506
Ivinhema,-21.360306,-54.696889,7.28,320,3.5,0.3,0.722891566
Ivinhema,-20.914111,-54.919222,5.48,474,1.9,0.375,0.361445783
Ivinhema,-21.020361,-54.935167,3.51,422,4.7,1.2,0.515662651
Ivinhema,-21.054194,-54.935667,6.65,404,5.3,1.1,0.963855422
Ivinhema,-21.501306,-55.164611,6.48,346,9.5,1.8,0.240963855
Ivinhema,-22.101306,-55.151056,7.7,402,2.3,0.45,0.656626506
Ivinhema,-22.057222,-55.498028,6.81,457,2.9,0.517,0.481927711
Ivinhema,-22.024528,-55.473167,7.14,486,1.3,0.525,0.656626506
Ivinhema,-21.994194,-55.654639,6.67,563,3.1,0.267,0.963855422
Ivinhema,-22.03525,-55.793972,7.1,586,9,0.75,0.84939759
Ivinhema,-22.056,-55.801778,7.3,593,4.2,0.433,1.313253012
Ivinhema,-22.283889,-55.83025,4.54,661,1.2,0.5,0.578313253
Ivinhema,-22.133028,-53.768472,4.52,273,4.5,0.7,0.457831325
Ivinhema,-21.904611,-53.546139,6.78,292,1.6,0.5,0.722891566
Ivinhema,-21.99425,-53.570111,4.41,265,2.5,0.4,0.602409639
Ivinhema,-22.306139,-53.395722,5.84,271,4.2,1.025,1.03253012
Ivinhema,-22.466994,-53.579306,7.07,261,3.5,0.775,0.687951807
Ivinhema,-21.460278,-55.332528,6.65,420,2.2,0.417,1.204819277
Ivinhema,-21.393833,-55.341972,6.83,391,9.5,0.55,0.802409639
Ivinhema,-21.321667,-55.348389,7.56,407,6,0.75,0.963855422
Ivinhema,-21.329028,-55.329028,6.29,542,2.5,0.333,0.903614458
Ivinhema,-21.722417,-55.496028,6.32,486,3.2,0.4,0.803614458
Ivinhema,-21.671306,-55.445444,6.7,461,4,0.75,0.963855422
Ivinhema,-22.129694,-54.579278,5.81,305,4.1,1.05,1.192771084
